ID,OBRA,CREATED,DESCRICAO,CLASSE_COMP,INSUMO_ATUAL,IP_D,UNIDADE,COEF_SIURB
3,Obra A,2021-02-04 11:44:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.12361111111111,H/M2,1.9449
4,Obra A,2021-02-04 12:23:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.03478260869565,H/M2,1.9449
5,Obra A,2021-02-04 12:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.03703703703704,H/M2,1.9449
6,Obra A,2021-02-05 10:09:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.803137651821862,H/M2,1.9449
7,Obra A,2021-02-05 10:11:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.8030303030303,H/M2,1.9449
8,Obra A,2021-02-08 12:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.14583333333333,H/M2,1.9449
9,Obra A,2021-02-08 12:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.39218009478673,H/M2,1.9449
10,Obra A,2021-02-09 12:20:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.865051903114187,H/M2,1.9449
11,Obra A,2021-02-09 12:25:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.926388888888889,H/M2,1.9449
12,Obra A,2021-02-10 11:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.69148936170213,H/M2,1.9449
13,Obra A,2021-02-11 12:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.15057251908397,H/M2,1.9449
14,Obra A,2021-02-11 12:37:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.04752066115702,H/M2,1.9449
15,Obra A,2021-02-12 11:02:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.55555555555556,H/M2,1.9449
16,Obra A,2021-02-12 11:57:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.901960784313726,H/M2,1.9449
17,Obra A,2021-02-12 12:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.87339055793991,H/M2,1.9449
18,Obra A,2021-02-15 09:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.597014925373134,H/M2,1.9449
19,Obra A,2021-02-15 11:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.769230769230769,H/M2,1.9449
20,Obra A,2021-02-15 11:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.73776223776224,H/M2,1.9449
21,Obra A,2021-02-15 11:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.765625,H/M2,1.9449
22,Obra A,2021-02-15 11:45:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.61904761904762,H/M2,1.9449
23,Obra A,2021-02-17 08:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.588235294117647,H/M2,1.9449
24,Obra A,2021-02-17 10:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.2012987012987,H/M2,1.9449
25,Obra A,2021-02-17 11:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.83381088825215,H/M2,1.9449
26,Obra A,2021-02-17 11:47:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.2396694214876,H/M2,1.9449
27,Obra A,2021-02-17 14:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.489795918367347,H/M2,1.9449
28,Obra A,2021-02-18 09:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.89393939393939,H/M2,1.9449
29,Obra A,2021-02-18 11:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.666666666666667,H/M2,1.9449
30,Obra A,2021-02-18 11:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.925555555555556,H/M2,1.9449
31,Obra A,2021-02-18 12:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.50208623087622,H/M2,1.9449
32,Obra A,2021-02-26 08:52:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.17647058823529,H/M2,1.9449
33,Obra A,2021-02-26 08:55:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.797916666666667,H/M2,1.9449
34,Obra A,2021-02-26 12:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.50300601202405,H/M2,1.9449
35,Obra A,2021-02-26 13:55:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.337638376383764,H/M2,1.9449
36,Obra A,2021-03-01 08:50:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.86046511627907,H/M2,1.9449
37,Obra A,2021-03-01 09:20:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.522352941176471,H/M2,1.9449
38,Obra A,2021-03-01 09:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.22549019607843,H/M2,1.9449
39,Obra A,2021-03-01 11:10:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.978428351309707,H/M2,1.9449
40,Obra A,2021-03-01 11:12:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.567407407407407,H/M2,1.9449
41,Obra A,2021-03-01 13:57:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.649152542372881,H/M2,1.9449
42,Obra A,2021-03-02 07:21:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.183006535947712,H/M2,1.9449
43,Obra A,2021-03-02 08:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.418136020151133,H/M2,1.9449
44,Obra A,2021-03-02 08:27:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.31531531531532,H/M2,1.9449
45,Obra A,2021-03-02 10:57:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.754977520873474,H/M2,1.9449
46,Obra A,2021-03-02 11:25:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.609195402298851,H/M2,1.9449
47,Obra A,2021-03-02 12:55:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.945945945945946,H/M2,1.9449
48,Obra A,2021-03-02 13:08:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.48854961832061,H/M2,1.9449
49,Obra A,2021-03-03 08:28:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.6318347509113,H/M2,1.9449
50,Obra A,2021-03-03 09:20:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.25733634311512,H/M2,1.9449
51,Obra A,2021-03-03 11:06:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.779748706577975,H/M2,1.9449
52,Obra A,2021-03-03 11:10:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,5.74712643678161,H/M2,1.9449
53,Obra A,2021-03-03 12:20:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.22887864823349,H/M2,1.9449
54,Obra A,2021-03-04 08:13:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.10718492343934,H/M2,1.9449
55,Obra A,2021-03-04 09:22:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.32127955493741,H/M2,1.9449
56,Obra A,2021-03-04 09:43:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.56462585034014,H/M2,1.9449
57,Obra A,2021-03-04 11:10:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.468643490115883,H/M2,1.9449
58,Obra A,2021-03-04 11:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.2396694214876,H/M2,1.9449
59,Obra A,2021-03-04 12:11:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.48080438756856,H/M2,1.9449
60,Obra A,2021-03-05 08:45:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.08695652173913,H/M2,1.9449
61,Obra A,2021-03-05 10:32:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.66666666666667,H/M2,1.9449
62,Obra A,2021-03-05 12:30:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.97919762258544,H/M2,1.9449
63,Obra A,2021-03-05 12:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.600282485875706,H/M2,1.9449
64,Obra A,2021-03-08 08:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.42755174875089,H/M2,1.9449
65,Obra A,2021-03-08 10:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.951949229374433,H/M2,1.9449
66,Obra A,2021-03-08 11:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.950475237618809,H/M2,1.9449
67,Obra A,2021-03-09 08:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.603174603174603,H/M2,1.9449
68,Obra A,2021-03-09 10:57:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.32487922705314,H/M2,1.9449
69,Obra A,2021-03-09 12:28:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.454974068835455,H/M2,1.9449
70,Obra A,2021-03-10 09:20:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.649501275806078,H/M2,1.9449
71,Obra A,2021-03-10 11:20:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.7329255861366,H/M2,1.9449
72,Obra A,2021-03-11 08:54:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.985306828003457,H/M2,1.9449
73,Obra A,2021-03-11 12:17:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.63222632226322,H/M2,1.9449
74,Obra A,2021-03-11 12:45:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.43973214285714,H/M2,1.9449
75,Obra A,2021-03-12 09:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.80082987551867,H/M2,1.9449
76,Obra A,2021-03-15 10:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.31187410586552,H/M2,1.9449
77,Obra A,2021-03-15 10:52:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.689831374552887,H/M2,1.9449
78,Obra A,2021-03-16 10:42:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.61429215509468,H/M2,1.9449
79,Obra A,2021-03-16 12:13:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.59414466130884,H/M2,1.9449
80,Obra A,2021-03-17 08:15:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.20772946859903,H/M2,1.9449
81,Obra A,2021-03-17 10:17:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.665474771553437,H/M2,1.9449
82,Obra A,2021-03-18 10:50:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.28772727272727,H/M2,1.9449
83,Obra A,2021-03-19 09:50:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.67439293598234,H/M2,1.9449
84,Obra A,2021-03-22 09:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.19112627986348,H/M2,1.9449
85,Obra A,2021-03-22 10:54:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.69672131147541,H/M2,1.9449
86,Obra A,2021-03-23 09:17:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.81746031746032,H/M2,1.9449
87,Obra A,2021-03-23 10:47:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.707372688117558,H/M2,1.9449
88,Obra A,2021-03-24 09:02:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.10852713178295,H/M2,1.9449
89,Obra A,2021-03-24 10:39:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.49411764705882,H/M2,1.9449
90,Obra A,2021-03-25 10:45:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.42105263157895,H/M2,1.9449
91,Obra A,2021-03-25 10:55:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.63354037267081,H/M2,1.9449
92,Obra A,2021-03-25 11:02:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.918984280532044,H/M2,1.9449
93,Obra A,2021-03-26 09:12:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.27486338797814,H/M2,1.9449
94,Obra A,2021-03-26 09:15:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.0949494949495,H/M2,1.9449
95,Obra A,2021-03-26 11:49:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.56537102473498,H/M2,1.9449
96,Obra A,2021-03-26 12:05:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.665932856356632,H/M2,1.9449
97,Obra A,2021-03-29 10:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.11616161616162,H/M2,1.9449
98,Obra A,2021-03-29 10:42:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.00890985324948,H/M2,1.9449
99,Obra A,2021-03-30 09:10:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.15812917594655,H/M2,1.9449
100,Obra A,2021-03-30 10:47:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.11131386861314,H/M2,1.9449
101,Obra A,2021-03-31 10:34:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.89150943396226,H/M2,1.9449
102,Obra A,2021-03-31 10:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.785661126271397,H/M2,1.9449
103,Obra A,2021-04-01 10:39:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.906092884533447,H/M2,1.9449
104,Obra A,2021-04-01 10:42:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.988430656934307,H/M2,1.9449
105,Obra A,2021-04-05 10:25:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.6025641025641,H/M2,1.9449
106,Obra A,2021-04-05 10:35:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.825656132833422,H/M2,1.9449
107,Obra A,2021-04-05 10:42:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.883918241419206,H/M2,1.9449
108,Obra A,2021-04-06 10:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,2.72844827586207,H/M2,1.9449
109,Obra A,2021-04-06 11:00:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.629496402877698,H/M2,1.9449
110,Obra A,2021-04-07 10:59:30,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,0.794385432473445,H/M2,1.9449
111,Obra A,2021-04-07 11:27:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,3.41463414634146,H/M2,1.9449
112,Obra A,2021-04-08 09:40:00,BLOCOS VAZADOS DE CONCRETO APARENTE - 19CM,ALVENARIA BLOCO APARENTE,MAO DE OBRA,1.14926108374384,H/M2,1.9449
